vehicle_id,capacity_bikes,speed_kmh,start_grid_id,start_lng,start_lat,load_time_min_per_bike,unload_time_min_per_bike,fixed_stop_time_min,max_route_time_min,available,notes
truck_01,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,"Sensitivity small vehicle"
truck_02,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,"Sensitivity small vehicle"
truck_03,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,"Sensitivity small vehicle"
truck_04,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,"Sensitivity small vehicle"
truck_05,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,"Sensitivity small vehicle"
truck_06,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,"Sensitivity small vehicle"
truck_07,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,"Sensitivity small vehicle"
truck_08,24,21,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,"Sensitivity medium vehicle, lower capacity template"
truck_09,24,21,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,"Sensitivity medium vehicle, lower capacity template"
truck_10,24,21,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,"Sensitivity medium vehicle, lower capacity template"
truck_11,24,21,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,"Sensitivity medium vehicle, lower capacity template"
truck_12,28,20,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,"Sensitivity medium vehicle, upper capacity template"
truck_13,28,20,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,"Sensitivity medium vehicle, upper capacity template"
truck_14,28,20,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,"Sensitivity medium vehicle, upper capacity template"
truck_15,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,"Sensitivity large vehicle"
truck_16,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,"Sensitivity large vehicle"
truck_17,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,"Sensitivity large vehicle"
truck_18,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,"Sensitivity large vehicle"
truck_19,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,"Sensitivity large vehicle"
truck_20,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,"Sensitivity large vehicle"
